source_id,r_lo,r_hi,n_points,hamiltonian_residual_mean,hamiltonian_residual_p95_abs,abs_weyl_mean,abs_weyl_p95_abs,ricci_trace_mean,ricci_trace_p95_abs,eigen_gap_mean,eigen_gap_p95_abs
B02,24.0,28.0,8417,4.5962688177351427e-05,0.00013670467596966766,0.0005557788721052083,0.0022078204900026314,0.0002594153261823969,0.00014068486343603575,0.2957412505577082,0.47542478442192077
B02,28.0,32.0,10539,5.462585872974979e-05,0.0002120759469107731,0.0006791925807893195,0.002934585511684418,0.00025208857835130416,0.0002579321095254275,0.30097469475674504,0.47762017548084257
B02,32.0,36.0,11501,6.796954785573751e-05,0.0003252148744650185,0.0008443955515370119,0.003340266877785325,0.000308374766178063,0.0006275080959312618,0.3262773433730296,0.4761742949485779
B02,36.0,40.0,11893,7.862087531687465e-05,0.00038008320843800896,0.0009833351399924444,0.003681344725191593,0.0004970800481574598,0.0018958286847919215,0.33504841861575724,0.48103261590003965
B02,40.0,44.0,12668,7.863654709698745e-05,0.0003597234099288471,0.0009753793868391794,0.0035008433507755397,0.0005248840759044348,0.002426393667701631,0.32967185830965534,0.4843021884560585
B02,44.0,48.0,13625,5.834533692855713e-05,0.00027083669556304796,0.0007983807432000662,0.003069441765546798,0.000360965680818552,0.0008244769182056163,0.3188099018827384,0.48178905844688413
B03,0.0,4.0,80,0.00036722623226523863,0.0005145136936334893,0.00042326881257395146,0.0006811717088567093,0.0074720015574712305,0.008982569444924593,0.3303081765538082,0.4762490004301071
B03,4.0,8.0,554,8.232329000364251e-05,0.0002217126544564963,0.001029420387784073,0.0012671157310251147,0.003298801434897088,0.005805756733752787,0.42895152137382797,0.48361480981111526
B03,8.0,12.0,1501,6.810493258247274e-05,0.00016830686945468187,0.0009968296738653547,0.0012725181877613068,0.0003080182552888765,0.00124557560775429,0.4145255688625046,0.4828271269798279
B03,12.0,16.0,2950,1.7877617005298682e-05,4.6040446795814186e-05,0.0005025187261221078,0.0008933785022236389,1.2192143996933534e-06,4.6040499000810066e-05,0.3084397768110315,0.46445265263319
B03,16.0,20.0,4818,2.1472422261191847e-05,8.417756289418315e-05,0.00046020945510769014,0.0015331381058786059,1.5988233211383625e-05,8.474062597088048e-05,0.27808820826501046,0.45980871468782425
B03,20.0,24.0,6657,3.544933945324115e-05,0.00018013293156400316,0.0006131304241559692,0.002873946214094757,0.00020234394024318142,0.00038104382692836174,0.28238444658750556,0.47264569401741025
B03,24.0,28.0,8709,6.0408061262735446e-05,0.00029091904289089163,0.0007250663676795052,0.003189694741740823,0.0005467988910550889,0.0026016807183623335,0.30456199917387833,0.47230753898620603
B03,28.0,32.0,10909,5.568272542244152e-05,0.0002508018165826798,0.0007401158784047933,0.0030695791821926835,0.0004089922063099538,0.0013999689603224404,0.31775435724986434,0.47964793443679815
B03,32.0,36.0,12960,3.844306130221544e-05,0.00018815754738170652,0.0006810100943870746,0.0027040187502279872,0.00015903220967996816,0.0005458003462990741,0.3131760741591936,0.47789976447820665
B03,36.0,40.0,14442,4.309271031986512e-05,0.00017514436694909813,0.0006307894383771209,0.002246102038770913,0.0002729437778945202,0.0005970967846224038,0.3183570094233984,0.4780687436461449
B03,40.0,44.0,15080,4.860845981033165e-05,0.00018647397155291395,0.0006496645574727385,0.0026508053531870217,0.0003641209877854831,0.0014253451023250813,0.32034726995513546,0.47716576159000396
B03,44.0,48.0,15814,4.302426006550054e-05,0.00016919839181355183,0.0005696765192717468,0.002007695531938216,0.00026367747906567854,0.0006228544400073585,0.30844513101937515,0.47995401322841647
B04,0.0,4.0,80,0.001134616128183552,0.002251300669740885,0.0018314299870326068,0.0025481112184934317,0.014881614060141147,0.02008123323321342,0.4424745386466384,0.48686630427837374
B04,4.0,8.0,554,0.00018710231383973314,0.00042146330524701626,0.0030502662981359376,0.0033107166294939817,0.003729002485154718,0.009490559063851834,0.4660338401686844,0.4895761772990227
B04,8.0,12.0,1501,0.00010708663346122308,0.00034576040343381464,0.001649516483326427,0.0026217629201710224,5.946898990937714e-05,0.0003890962398145348,0.4370374940459844,0.485041081905365
B04,12.0,16.0,2950,2.2036437207334596e-05,5.700278452422934e-05,0.0006837911270578565,0.0011420564784202722,1.4012933596810375e-06,5.700266683561493e-05,0.31742248232032455,0.46853660643100736
B04,16.0,20.0,4846,2.1309427959937618e-05,7.77825916884467e-05,0.0005378988742703762,0.001398758584400639,4.1936037083043355e-05,0.00013035564188612625,0.279581455232035,0.4619259238243103
B04,20.0,24.0,7183,3.6285848323702886e-05,0.0001719151987344958,0.0006442291867402966,0.002471663360483944,0.000282249831917463,0.0018283488927408986,0.2877893576559689,0.4708892375230789
B04,24.0,28.0,10134,5.540764921573759e-05,0.00026091204053955156,0.000730459156587676,0.0029463074635714295,0.0006006218140518499,0.00429894356057048,0.31609130039803884,0.4750508785247803
B04,28.0,32.0,13448,5.798534979669874e-05,0.0002336775629373732,0.0007442939035613949,0.0028814978897571558,0.0005110111540256312,0.0030290005262941094,0.34262900383274847,0.4823738425970078
B04,32.0,36.0,17134,3.86232782390648e-05,0.00017642337697907305,0.0007011729959200692,0.0024779221508651962,0.0001984813189283734,0.0007979899237398039,0.3393993700087246,0.4831884518265724
